gt_source_id	source_class	structure_id	path	sha256	checksum_status	schema_locator	physical_unit_id	physical_link_status	geometry_locator	provenance_status	provenance_locator	overlap_status	overlap_locator	same_assay_status	audit_status	notes
ATLAS_TABLE_S2_TLS_SUMMARY	ATLAS_TLS_COUNT_SUMMARY	TLS	paper/tables/science.adz2742_tables_s1_to_s8.xlsx	5978cba8314ff76953d339011c75691bad305dbff195ccc40abdf0bd0e51105d	VERIFIED	Table S2!I:J (TLS presence/count)		UNRESOLVED_ROW_TO_R01_PHYSICAL_UNIT		SUMMARY_PROVENANCE_ONLY	Table S2!K:L (publication/data source only)	UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Presence/count summaries enumerate candidates but provide no instance geometry, replayable annotation derivation, or closed physical/overlap mapping.
ATLAS_TABLE_S4_TLS_IDS	ATLAS_TLS_ID_ATTRIBUTES	TLS	paper/tables/science.adz2742_tables_s1_to_s8.xlsx	5978cba8314ff76953d339011c75691bad305dbff195ccc40abdf0bd0e51105d	VERIFIED	Table S4!A:D (TLS ID, maturation, location, size)		UNRESOLVED_ID_TO_R01_PHYSICAL_UNIT		SOURCE_REPORTED_ID_ATTRIBUTES	Table S4!A:D	UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Verified source-reported IDs replace synthetic count expansion, but Table S4 supplies attributes rather than replayable structure geometry.
UPSTREAM_CRC_TLS_ID_SUMMARY	UPSTREAM_CRC_TLS_ID_SUMMARY	TLS	repo/data/ST_CRC_maturation_location.csv	e451152735e9ce121519965ade6c9d8211f769cb0d41d35f6026fdfc95ae4c12	VERIFIED	CSV:ST_ID,sample_key,TLS_ID,Cluster,Location		SAMPLE_KEY_LINK_ONLY_NOT_UNIQUE_PHYSICAL		CORROBORATING_DERIVED_SUMMARY	repo/data/ST_CRC_maturation_location.csv#TLS_ID	UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Corroborates all 44 scoped HTAN Table S4 TLS IDs and sample keys; contains no replayable geometry and is not independent GT.
STOMICS_TLS_ANNOTATION::01	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006846/GSM5924035_ffpe_c_20_TLS_annotation.csv.gz	b42c8a7ac25891fc4328ab70e03bda96d5d474c8f4a7fe8ffe607049236aa7fa	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::02	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006847/GSM5924036_ffpe_c_21_TLS_annotation.csv.gz	4e8a93588df3e6e826e005082c52c12227e584b6a40559f213c423a335744c74	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::03	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006848/GSM5924037_ffpe_c_34_TLS_annotation.csv.gz	dde0a3949d8b53f1c47f17a6dc6a648eed5214c8d23bbbb57c04e2d379b5cb49	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::04	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006849/GSM5924038_ffpe_c_36_TLS_annotation.csv.gz	794a4795c1c73a189963e8bb9aff3b3e010881f7321b527d012b8760f337cf5a	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::05	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006850/GSM5924039_ffpe_c_39_TLS_annotation.csv.gz	a14425ebfbd996f76a52ee16df8bec10e37968c8b1e5aab8b2561c61ab013753	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::06	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006851/GSM5924040_ffpe_c_45_TLS_annotation.csv.gz	c0ccc6cefafd309164ac75e7cf7f660178d722953e21ecdb198dea772bea2e43	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::07	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006852/GSM5924041_ffpe_c_51_TLS_annotation.csv.gz	ddb08e9b08342150d35b78dfd4656034d16fc67268cb5703af9e35e463ebd0c3	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
